中文名,标准缩写,去掉空格的缩写,全名,全名，把逗号换成了空格,专长类群,工作单位,姓,名
【空】,Reichst.,Reichst.,"Reichstein, Tadeus",Reichstein Tadeus,PS,,Reichstein,Tadeus
【空】,Reinw.,Reinw.,"Reinwardt, Caspar Georg Carl",Reinwardt Caspar Georg Carl,BPS,,Reinwardt,Caspar Georg Carl
【空】,Renvoize,Renvoize,"Renvoize, Stephen Andrew",Renvoize Stephen Andrew,S,,Renvoize,Stephen Andrew
【空】,Renz,Renz,"Renz, Jany",Renz Jany,S,,Renz,Jany
【空】,Retz.,Retz.,"Retzius, Anders Jahan",Retzius Anders Jahan,ABMPS,,Retzius,Anders Jahan
【空】,Reinsch,Reinsch,"Reinsch, Paul Friedrich",Reinsch Paul Friedrich,AMPS,,Reinsch,Paul Friedrich
【空】,Rendle,Rendle,"Rendle, Alfred Barton",Rendle Alfred Barton,APS,,Rendle,Alfred Barton
【空】,Reut.,Reut.,"Reuter, George Francois",Reuter George Francois,PS,,Reuter,George Francois
【空】,A. Rich.,A.Rich.,"Richard, Achille",Richard Achille,ABMPS,,Richard,Achille
【空】,Richardson,Richardson,"Richardson, John",Richardson John,PS,,Richardson,John
【空】,Richt.,Richt.,"Richter, Hermann Eberhard Friedrich",Richter Hermann Eberhard Friedrich,S,,Richter,Hermann Eberhard Friedrich
【空】,Ricker,Ricker,"Ricker, Percy Leroy",Ricker Percy Leroy,MS,,Ricker,Percy Leroy
【空】,Ridl.,Ridl.,"Ridley, Henry Nicholas",Ridley Henry Nicholas,MPS,,Ridley,Henry Nicholas
【空】,Barkalov,Barkalov,"Barkalov, V. Yu. (Ju.)",Barkalov V. Yu. (Ju.),S,,Barkalov,V. Yu. (Ju.)
【空】,Barkworth,Barkworth,"Barkworth, Mary Elizabeth",Barkworth Mary Elizabeth,S,,Barkworth,Mary Elizabeth
【空】,Barneby,Barneby,"Barneby, Rupert Charles",Barneby Rupert Charles,S,,Barneby,Rupert Charles
【空】,Barnett,Barnett,"Barnett, Euphemia Cowan",Barnett Euphemia Cowan,S,,Barnett,Euphemia Cowan
【空】,Baroni,Baroni,"Baroni, Eugenio",Baroni Eugenio,MPS,,Baroni,Eugenio
【空】,Barretto,Barretto,"Barretto, G.D'A.",Barretto G.D'A.,S,,Barretto,G.D'A.
【空】,Bartl.,Bartl.,"Bartling, Friedrich Gottlieb",Bartling Friedrich Gottlieb,S,,Bartling,Friedrich Gottlieb
【空】,Bartlet,Bartlet,,,,,,
【空】,W. P. C. Barton,W.P.C.Barton,"Barton, William Paul Crillon",Barton William Paul Crillon,S,,Barton,William Paul Crillon
【空】,Basiner,Basiner,"Basiner, Theodor Friedrich Julius",Basiner Theodor Friedrich Julius,S,,Basiner,Theodor Friedrich Julius
【空】,Bassi,Bassi,"Bassi, Ferdinando",Bassi Ferdinando,S,,Bassi,Ferdinando
【空】,S. K. Basu,S.K.Basu,"Basu, S.K.",Basu S.K.,P,,Basu,S.K.
【空】,Batalin,Batalin,"Batalin, Alexander Theodorowicz",Batalin Alexander Theodorowicz,S,,Batalin,Alexander Theodorowicz
【空】,Bateman,Bateman,"Bateman, James",Bateman James,S,,Bateman,James
【空】,Batsch,Batsch,"Batsch, August Johann Georg Karl",Batsch August Johann Georg Karl,BMPS,,Batsch,August Johann Georg Karl
【空】,Batt.,Batt.,"Battandier, Jules Aimé",Battandier Jules Aimé,BPS,,Battandier,Jules Aimé
【空】,Baudo,Baudo,"Baudo, Firmin",Baudo Firmin,S,,Baudo,Firmin
【空】,Bauhin,Bauhin,,,,,,
【空】,Baumg.,Baumg.,"Baumgarten, Johann Christian Gouttlob",Baumgarten Johann Christian Gouttlob,MPS,,Baumgarten,Johann Christian Gouttlob
【空】,E. O. Beal,E.O.Beal,"Beal, Ernest Oscar",Beal Ernest Oscar,S,,Beal,Ernest Oscar
【空】,Bean,Bean,"Bean, William Jackson",Bean William Jackson,S,,Bean,William Jackson
【空】,Beauverd,Beauverd,"Beauverd, Gustave",Beauverd Gustave,BPS,,Beauverd,Gustave
【空】,Becc.,Becc.,"Beccari, Odoardo",Beccari Odoardo,AMPS,,Beccari,Odoardo
【空】,Beck,Beck,"Beck von Mannagetta und Lerchenau, Günther",Beck von Mannagetta und Lerchenau Günther,ABMPS,,Beck von Mannagetta und Lerchenau,Günther
【空】,Bedd.,Bedd.,"Beddome, Richard Henry",Beddome Richard Henry,PS,,Beddome,Richard Henry
【空】,Beer,Beer,"Beer, Johann Georg",Beer Johann Georg,S,,Beer,Johann Georg
【空】,Beetle,Beetle,"Beetle, Alan Ackerman",Beetle Alan Ackerman,S,,Beetle,Alan Ackerman
【空】,Beille,Beille,"Beille, Lucien",Beille Lucien,S,,Beille,Lucien
【空】,Beissn.,Beissn.,"Beissner, Ludwig",Beissner Ludwig,S,,Beissner,Ludwig
【空】,Beldie,Beldie,"Beldie, Alexandru",Beldie Alexandru,S,,Beldie,Alexandru
【空】,Schindl.,Schindl.,"Schindler, Anton Karl",Schindler Anton Karl,S,,Schindler,Anton Karl
【空】,Schenck,Schenck,"Schenck, Johann Heinrich Rudolf",Schenck Johann Heinrich Rudolf,PS,,Schenck,Johann Heinrich Rudolf
【空】,Schinz,Schinz,"Schinz, Hans",Schinz Hans,PS,,Schinz,Hans
【空】,Schipcz.,Schipcz.,"Schipczinsky, Nikolaj Valerianovich",Schipczinsky Nikolaj Valerianovich,S,,Schipczinsky,Nikolaj Valerianovich
【空】,Schischk.,Schischk.,"Schischkin, Boris Konstantinovich",Schischkin Boris Konstantinovich,S,,Schischkin,Boris Konstantinovich
【空】,Schischkin,Schischkin,"Schischkin, Boris Konstantinovich？",Schischkin Boris Konstantinovich？,,,Schischkin,Boris Konstantinovich？
【空】,Schkenk,Schkenk,,,,,,
【空】,Schkuhr,Schkuhr,"Schkuhr, Christian",Schkuhr Christian,BCP,,Schkuhr,Christian
【空】,Schlittler,Schlittler,,,,,,
